3,N,,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,CA,NG,NG,,,mcf,"22,282","4,750","17,735","53,826","45,013","60,578","72,348","90,501","66,557","115,055","36,631",.,"22,282","4,750","17,735","53,826","45,013","60,578","72,348","90,501","66,557","115,055","36,631",.,1.02,1.00,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,.,"22,750","4,755","18,143","55,010","46,318","62,456","74,518","93,216","68,820","118,161","37,803",.,"22,750","4,755","18,143","55,010","46,318","62,456","74,518","93,216","68,820","118,161","37,803",.,"243,301","125,480","256,678","241,528","231,508","229,267","246,778","256,702","231,626","272,789","263,943",.,"585,276","585,276","601,950","601,950","2,599,600",2014
3,N,,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,CT,NG,NG,,,mcf,"4,701,106","2,494,568","4,935,213","4,517,533","4,274,445","4,231,316","4,520,195","4,617,706","4,232,801","5,009,001","4,921,945",.,"4,701,106","2,494,568","4,935,213","4,517,533","4,274,445","4,231,316","4,520,195","4,617,706","4,232,801","5,009,001","4,921,945",.,1.02,1.00,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,.,"4,799,829","2,497,063","5,048,723","4,616,919","4,398,404","4,362,487","4,655,801","4,756,237","4,376,716","5,144,244","5,079,447",.,"4,799,829","2,497,063","5,048,723","4,616,919","4,398,404","4,362,487","4,655,801","4,756,237","4,376,716","5,144,244","5,079,447",.,"438,126","215,543","464,060","417,970","395,680","388,301","414,002","419,994","390,970","470,114","467,025",.,"48,455,829","48,455,829","49,735,870","49,735,870","4,481,785",2014
3,N,,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,"253,984","244,653","70,936","187,755","277,149","283,006","292,701","274,536","242,090","127,749","107,494",.,"253,984","244,653","70,936","187,755","277,149","283,006","292,701","274,536","242,090","127,749","107,494",.,21.16,21.00,20.92,20.97,21.13,21.18,21.16,21.29,21.46,21.36,21.71,.,"5,373,286","5,138,692","1,484,052","3,936,659","5,855,604","5,992,652","6,194,139","5,844,597","5,194,767","2,728,208","2,333,587",.,"5,373,286","5,138,692","1,484,052","3,936,659","5,855,604","5,992,652","6,194,139","5,844,597","5,194,767","2,728,208","2,333,587",.,"516,889","501,362","144,531","386,242","575,128","584,798","596,810","569,652","503,937","260,815","227,759",.,"2,362,053","2,362,053","50,076,243","50,076,243","4,867,924",2014
3,N,,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,NG,NG,,,mcf,"236,223","129,433","39,995","86,280","28,991","93,922","140,220","15,169","40,861","29,408","45,756",.,"236,223","129,433","39,995","86,280","28,991","93,922","140,220","15,169","40,861","29,408","45,756",.,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,.,"241,184","132,151","40,915","88,178","29,832","96,834","144,567","15,594","42,169","30,202","47,174",.,"241,184","132,151","40,915","88,178","29,832","96,834","144,567","15,594","42,169","30,202","47,174",.,"23,201","12,893","3,985","8,652","2,930","9,450","13,929","1,520","4,091","2,887","4,604",.,"886,258","886,258","908,800","908,800","88,141",2014
3,N,,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,WC,WOC,,,short tons,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0,0,0,2014
4,N,,Walter Bouldin Dam,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"793,387","1,001,178","820,070","756,056","401,670","395,799","182,574","61,797","92,572","228,079","337,160",.,"793,387","1,001,178","820,070","756,056","401,670","395,799","182,574","61,797","92,572","228,079","337,160",.,"83,374","105,210","86,178","79,451","42,210","41,593","19,186","6,494","9,728","23,968","35,364",.,0,0,"5,070,342","5,070,342","532,756",2014
8,N,,Gorgas,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,"253,962","223,017","248,743","174,775","214,614","205,702","240,440","216,251","182,148","220,784","43,420",.,"253,962","223,017","248,743","174,775","214,614","205,702","240,440","216,251","182,148","220,784","43,420",.,22.83,22.93,23.66,23.54,23.56,23.10,23.87,23.72,23.73,23.61,23.35,.,"5,798,460","5,114,226","5,884,762","4,113,330","5,056,306","4,752,539","5,738,101","5,129,474","4,322,918","5,213,152","1,013,727",.,"5,798,460","5,114,226","5,884,762","4,113,330","5,056,306","4,752,539","5,738,101","5,129,474","4,322,918","5,213,152","1,013,727",.,"581,201","505,024","589,149","410,939","511,098","483,648","575,974","525,449","431,905","528,409","102,484",.,"2,223,856","2,223,856","52,136,995","52,136,995","5,245,281",2014
8,N,,Gorgas,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,"3,508","2,439",0,"3,529",772,"2,405",512,769,"1,905",361,711,.,"3,508","2,439",0,"3,529",772,"2,405",512,769,"1,905",361,711,.,5.82,5.76,0.00,5.77,5.76,5.75,5.78,5.79,5.79,5.80,5.76,.,"20,420","14,054",0,"20,366","4,447","13,838","2,959","4,449","11,034","2,093","4,095",.,"20,420","14,054",0,"20,366","4,447","13,838","2,959","4,449","11,034","2,093","4,095",.,"2,047","1,388",0,"2,035",450,"1,408",297,456,"1,102",212,414,.,"16,911","16,911","97,755","97,755","9,808",2014
8,N,,Gorgas,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,WC,WOC,,,short tons,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0,0,0,2014
10,N,,Greene County,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,GT,DFO,DFO,,,barrels,"35,008",0,830,0,26,0,0,0,120,94,0,.,"35,008",0,830,0,26,0,0,0,120,94,0,.,5.86,0.00,5.89,0.00,5.84,0.00,0.00,0.00,5.85,5.82,0.00,.,"205,007",0,"4,891",0,152,0,0,0,702,547,0,.,"205,007",0,"4,891",0,152,0,0,0,702,547,0,.,"15,907",0,268,0,10,0,0,0,48,40,0,.,"36,078","36,078","211,299","211,299","16,273",2014
